Start,End,What,With,Where,Tag,Why
1/1/19,present,Faculty Tenure-Track Commission,"RWTH Aachen University","Elected Member",service,"Determine tenure track evaluation criteria",
1/1/17,present,Teaching-Coordinator, Course of Study: Digital Media Communication (M.A.),"Institute for Linguistics and Communication Science, RWTH Aachen University",service,"Responsible for managing online catalogues, tracking of teaching duties, Exam management, Student troubleshooting"
1/1/16,present,Coordinator International Office, Institute for Linguistics and Communication Science,"RWTH Aachen University",service,Responsible for Erasmus+ exchange students and staff mobility
,,,,,,Coordination of all other international student activities 
1/1/16,1/1/16,Committee work,Professorship Computational methods in Social Sciences (W3),"Faculty of Philosophy, RWTH Aachen University",service,Elected committee member
1/1/16,1/1/16,Committee work,Professorship Philosophy of Science (W3),"Faculty of Philosophy, RWTH Aachen University",service,Elected deputy committee member
1/1/17,1/1/17,Committee work,Professorship Auditive Cognition (W2),"Faculty of Philosophy, RWTH Aachen University",service,Elected committee member
6/1/16,6/1/16,Accreditation work, Course of Study: Digital Media Communication (M.A.),"Institute for Linguistics and communication science, RWTH Aachen University",service,Responsible for the preparation of the module manual and the study plan. 
1/1/19,1/1/19,Grant Proposal Review, Commission for scientific evaluation, "ETH Zürich, Switzerland",service, Review of International Large Scale Research Proposal
4/5/18,4/5/18,Advisory, BMBF/VDI/VDE Innovation + Technik GmbH,Stuttgart, service, Invited Talk: Future Topics in HCI Research
,,,,,,Advisory for future BMBF programme concepts
2/5/18,2/5/18,Advisory, BMBF/Deutsches Zentrum für Luft und Raumfahrt (DLR) e.V.,Bonn, service, Advisory for 9th Framework EU programme concepts 
